asin,title,link,current_rank,category_url,days_seen,first_seen,keywords,idea_prompt
B07JR33NHQ,Grunt Style 1776 Flag Men's T-Shirt,https://www.amazon.com/Grunt-Style-T-Shirt-Color-Medium/dp/B07JR33NHQ/ref=zg_bs_g_9056987011_d_sccl_10/132-1744942-5226851,10,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"grunt, style, 1776, flag","Create an original, text-forward T-shirt design around: grunt, style, 1776, flag. Use clear fonts and simple iconography. Avoid trademarks."
B0GRL6PQKD,Project Hail Mary Amazing Rocky The Alien Neon Portrait T-Shirt,https://www.amazon.com/Project-Hail-Mary-Amazing-Portrait/dp/B0GRL6PQKD/ref=zg_bs_g_9056987011_d_sccl_12/132-1744942-5226851,12,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"project, hail, mary, amazing, rocky, alien, neon, portrait","Create an original, text-forward T-shirt design around: project, hail, mary, amazing, rocky, alien, neon, portrait. Use clear fonts and simple iconography. Avoid trademarks."
B0GRKQZ5XX,Project Hail Mary Spaceship Mission Badge Poster T-Shirt,https://www.amazon.com/Project-Hail-Mary-Spaceship-Mission/dp/B0GRKQZ5XX/ref=zg_bs_g_9056987011_d_sccl_15/132-1744942-5226851,15,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"project, hail, mary, spaceship, mission, badge, poster","Create an original, text-forward T-shirt design around: project, hail, mary, spaceship, mission, badge, poster. Use clear fonts and simple iconography. Avoid trademarks."
B0097M9AK8,"Jockey T-Shirts for Men - V Neck Undershirts, Cotton Men's T-Shirts - 3 Pack",https://www.amazon.com/Jockey-Mens-T-Shirts-Classic-V-Neck/dp/B0097M9AK8/ref=zg_bs_g_9056987011_d_sccl_18/132-1744942-5226851,18,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"jockey, shirts, neck, undershirts, cotton, pack","Create an original, text-forward T-shirt design around: jockey, shirts, neck, undershirts, cotton, pack. Use clear fonts and simple iconography. Avoid trademarks."
B0FD91FYCV,Cat No Kings in America Funny Political Cat Lady T-Shirt,https://www.amazon.com/Cat-No-Kings-America-Funny/dp/B0FD91FYCV/ref=zg_bs_g_9056987011_d_sccl_23/132-1744942-5226851,23,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"cat, kings, america, political, lady","Create an original, text-forward T-shirt design around: cat, kings, america, political, lady. Use clear fonts and simple iconography. Avoid trademarks."
B0FVYH5SWF,iudam Mens Short Sleeve T-Shirt Graphic Loose Fit Tee Crew Neck Palm Tree Summer Shirts,https://www.amazon.com/iudam-Sleeve-T-Shirt-Graphic-Summer/dp/B0FVYH5SWF/ref=zg_bs_g_9056987011_d_sccl_24/132-1744942-5226851,24,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"iudam, mens, loose, crew, neck, palm, tree, summer, shirts","Create an original, text-forward T-shirt design around: iudam, mens, loose, crew, neck, palm, tree, summer, shirts. Use clear fonts and simple iconography. Avoid trademarks."
B0GRK633Z4,Project Hail Mary Fist My Bump Rocky The Alien Poster T-Shirt,https://www.amazon.com/Project-Hail-Mary-Poster-T-Shirt/dp/B0GRK633Z4/ref=zg_bs_g_9056987011_d_sccl_26/132-1744942-5226851,26,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"project, hail, mary, fist, bump, rocky, alien, poster","Create an original, text-forward T-shirt design around: project, hail, mary, fist, bump, rocky, alien, poster. Use clear fonts and simple iconography. Avoid trademarks."
B09XWKQNMC,Grunt Style American Acid Men's T-Shirt,https://www.amazon.com/Grunt-Style-American-T-Shirt-XLarge/dp/B09XWKQNMC/ref=zg_bs_g_9056987011_d_sccl_27/132-1744942-5226851,27,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"grunt, style, american, acid","Create an original, text-forward T-shirt design around: grunt, style, american, acid. Use clear fonts and simple iconography. Avoid trademarks."
B09DFPR59M,Grunt Style Basic Crew T-Shirt Pack,https://www.amazon.com/Grunt-Style-Ghost-T-Shirt-3-Pack/dp/B09DFPR59M/ref=zg_bs_g_9056987011_d_sccl_29/132-1744942-5226851,29,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"grunt, style, basic, crew, pack","Create an original, text-forward T-shirt design around: grunt, style, basic, crew, pack. Use clear fonts and simple iconography. Avoid trademarks."
B08JHGWRFS,INTO THE AM Men's Graphic T-Shirts S - 4XL Premium Short Sleeve Tees Cool Nature Designs,https://www.amazon.com/INTO-AM-Thorn-Grip-Mens/dp/B08JHGWRFS/ref=zg_bs_g_9056987011_d_sccl_30/132-1744942-5226851,30,https://www.amazon.com/Best-Sellers-Men%27s-Novelty-T-Shirts/zgbs/fashion/9056987011,1,2026-03-23T06:54:42.708254Z,"into, shirts, 4xl, premium, tees, nature, designs","Create an original, text-forward T-shirt design around: into, shirts, 4xl, premium, tees, nature, designs. Use clear fonts and simple iconography. Avoid trademarks."
